data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2015-06-01,2015,Jun,63.0,9.0,7.4,5.6,2.6,49.0,65.0,0.85,0.13,391.0,False,False,False,False,False,False,0,3,2
2015-08-01,2015,Ago,80.0,11.0,7.7,9.8,1.4,85.0,75.0,0.92,0.35,649.0,True,False,False,False,False,False,1,6,5
2015-09-01,2015,Set,127.0,34.0,7.4,12.6,2.8,60.0,62.0,1.85,0.26,403.0,False,False,False,False,False,False,0,6,5
2015-10-01,2015,Out,110.0,41.0,7.6,13.9,2.7,83.0,89.0,1.66,0.18,430.0,True,False,False,False,False,False,1,5,4
2015-11-01,2015,Nov,137.0,66.0,7.6,8.3,2.6,63.0,54.0,1.76,0.73,322.0,True,True,False,True,False,False,3,7,6
2015-12-01,2015,Dez,273.0,175.0,7.2,8.5,2.9,64.0,36.0,4.49,0.2,194.0,False,True,False,False,False,False,1,6,5
2016-01-01,2016,Jan,235.0,215.0,7.2,15.9,4.2,27.0,43.0,2.66,0.3,181.0,True,True,False,False,False,False,2,6,5
2016-02-01,2016,Fev,286.0,167.0,7.5,13.3,5.6,120.0,148.0,4.33,0.32,174.0,True,True,True,True,True,True,6,5,4
2016-03-01,2016,Mar,227.0,146.0,7.3,5.8,4.3,23.0,35.0,3.87,0.29,209.0,False,False,False,False,False,False,0,5,4
2016-04-01,2016,Abr,73.0,28.0,7.2,5.9,2.8,26.0,48.0,1.24,0.11,223.0,False,False,False,False,False,False,0,4,3
2016-05-01,2016,Mai,60.0,26.0,7.4,5.5,3.5,37.0,48.0,1.09,0.11,255.0,False,False,False,False,False,False,0,3,2
2016-06-01,2016,Jun,270.0,394.0,7.2,9.2,5.5,23.0,40.0,4.9,0.48,132.0,True,True,True,True,True,True,6,5,4
2016-07-01,2016,Jul,57.0,14.0,7.2,7.1,4.1,33.0,43.0,1.1,0.09,204.0,False,False,False,False,False,False,0,2,1
2016-08-01,2016,Ago,43.0,6.0,7.3,6.3,3.4,42.0,46.0,0.63,0.08,272.0,False,False,False,False,False,False,0,3,2
2016-09-01,2016,Set,38.0,5.0,7.5,7.0,3.0,44.0,42.0,0.68,0.1,325.0,False,False,False,False,False,False,0,3,2
2016-10-01,2016,Out,80.0,41.0,7.5,6.8,2.9,47.0,53.0,1.5,0.35,314.0,True,False,False,False,False,False,1,5,4
2016-11-01,2016,Nov,218.0,371.0,7.4,11.1,3.2,32.0,46.0,4.92,0.76,221.0,True,True,True,True,True,True,6,6,5
